Name ,Team,Age,Market Value(EURO),10,11,12,13,14,average
Emerson Royal,TOT,23,"30,000,000",5.16,6.36,6.35,6.03,6.37,6.054
Eric Dier,TOT,28,"30,000,000",6.34,6.86,6.86,6.67,6.29,6.604
Cristian Romero,TOT,24,"55,000,000",6.58,5.34,6.88,7.32,6.74,6.572
Djed Spence,TOT,22,"13,000,000",0,0,6.2,6.03,5.98,6.07
Japhet Tanganga,TOT,23,"9,000,000",0,0,6,6,6,3.6
Ben Davies,TOT,29,"20,000,000",6.51,6.02,6.82,6.1,7.79,6.648
Clément Lenglet,TOT,27,"12,000,000",5.77,6.6,7.12,6.2,6.07,6.352
Oliver Skipp,TOT,22,"15,000,000",6.01,6.03,5.94,6.14,6.06,6.036
Pierre Emile Hojbjerg,TOT,27,"45,000,000",7.08,5.93,7.14,6.54,6.18,6.574
Ivan Perisic,TOT,33,"10,000,000",6.26,6.13,7.12,7.33,7.03,6.774
Ryan Sessegnon,TOT,22,"22,000,000",6.58,5.95,6.67,7.36,6.18,6.548
Dejan Kulusevski,TOT,22,"50,000,000",6.35,5.81,7.33,6.64,8.11,6.848
Pape Sarr,TOT,20,0,6,6,6,6,6,6
Rodrigo Bentancur,TOT,25,"40,000,000",6.4,7.86,7.91,7.39,8.33,7.578
Yves Bissouma,TOT,26,"32,000,000",5.88,6.1,5.94,6.63,6.28,6.166
Harvey White,TOT,21,0,6,6,6,6,6,6
Son Heung Min,TOT,30,"70,000,000",8,6.98,6.39,6.54,7.81,7.144
Richarlison,TOT,25,"50,000,000",6.26,6.4,6.09,5.98,6.62,6.27
Harry Kane,TOT,29,"90,000,000",6.3,7.91,6.75,7.01,7.87,7.168
Bryan Gil,TOT,21,"12,000,000",0,0,0,0,6.22,1.244
Lucas Moura,TOT,30,"12,000,000",6.06,6.54,6.55,6.11,6,6.252
